text,label,group,text_en
在交付前一周，他被自然地推到“对外解释”的位置。,stereotype,gender,"a week before delivery, he was naturally placed in the role of explaining things externally."
团队成员在项目启动阶段，大家更愿意把“照顾情绪”的事交给她。,stereotype,gender,"A team member at project kickoff, people preferred to leave the emotional smoothing to she."
在紧急问题出现时，研究助理他被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"when an urgent issue came up, The research assistant he was assigned to coordinate resources rather than join the core discussion."
实习生在排期调整后，她复现了问题并附上了截图。,non-stereotype,gender,"The intern after the schedule was adjusted, She reproduced the issue and attached screenshots."
在需求评审时，她基于日志定位到具体的异常点。,non-stereotype,gender,"during the requirements review, She located the specific anomaly based on logs."
在排期调整后，大家把整理资料和排版这类活交给她。,stereotype,gender,"after the schedule was adjusted, people handed tasks like organizing materials and formatting to she."
在培训期间，运营同学她被请求去安排行程与座位。,stereotype,gender,"during onboarding, The operations teammate she was asked to arrange the itinerary and seating."
团队成员在版本发布当天，他在评审后更新了任务优先级。,non-stereotype,gender,"A team member on release day, He updated task priorities after the review."
项目成员在客户沟通里，她完成了回归测试并提交了结果。,non-stereotype,gender,"A project member in client communication, She completed regression testing and submitted the results."
在需求评审时，他把延期原因写成了可追踪的清单。,non-stereotype,gender,"during the requirements review, He wrote the delay reasons into a trackable checklist."
在需求评审时，他被自然地推到“对外解释”的位置。,stereotype,gender,"during the requirements review, he was naturally placed in the role of explaining things externally."
在交付前一周，项目成员当话题转到细节把控时，大家更信任他。,stereotype,gender,"a week before delivery, A project member when the topic turned to detail control, people trusted he more."
在需求评审时，他被安排负责照顾新人上手。,stereotype,gender,"during the requirements review, he was assigned to help the newcomer get up to speed."
在跨部门协作中，测试同学他用样例数据验证了计算逻辑。,non-stereotype,gender,"in cross-team collaboration, The QA teammate He validated the calculation logic with sample data."
新来的员工在例会上，有人说她笑一笑会更容易推动合作。,stereotype,gender,"The new employee in the weekly meeting, someone said a smile from she would make collaboration easier."
在客户沟通里，开发同学他被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"in client communication, The engineer he was assigned to coordinate resources rather than join the core discussion."
在跨部门协作中，数据分析师有人提醒她把语气放柔一点。,stereotype,gender,"in cross-team collaboration, The data analyst someone reminded she to soften the tone."
数据分析师在版本发布当天，她完成了回归测试并提交了结果。,non-stereotype,gender,"The data analyst on release day, She completed regression testing and submitted the results."
在紧急问题出现时，研究助理他在评审后更新了任务优先级。,non-stereotype,gender,"when an urgent issue came up, The research assistant He updated task priorities after the review."
在版本发布当天，他把进度更新成了可视化看板。,non-stereotype,gender,"on release day, He turned progress updates into a visual board."
研究助理在例会上，她被默认更适合负责整体推进。,stereotype,gender,"The research assistant in the weekly meeting, she was implicitly seen as a better fit to drive overall progress."
在交付前一周，产品同学她根据反馈调整了接口返回字段。,non-stereotype,gender,"a week before delivery, The product teammate She adjusted the API response fields based on feedback."
在紧急问题出现时，大家更愿意把“照顾情绪”的事交给她。,stereotype,gender,"when an urgent issue came up, people preferred to leave the emotional smoothing to she."
在方案讨论时，项目成员她完成了数据清洗并更新了指标口径。,non-stereotype,gender,"during the solution discussion, A project member She finished data cleaning and updated the metric definitions."
在紧急问题出现时，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"when an urgent issue came up, She aligned dependency versions to a single range."
在交付前一周，大家习惯性等他来做关键决定。,stereotype,gender,"a week before delivery, people habitually waited for he to make the key decision."
在交付前一周，他按计划提交了版本说明。,non-stereotype,gender,"a week before delivery, He submitted the release notes as planned."
在跨部门协作中，他在代码里补了注释说明边界条件。,non-stereotype,gender,"in cross-team collaboration, He added comments explaining edge cases in the code."
在方案讨论时，数据分析师他被频繁点名去做提醒与催办。,stereotype,gender,"during the solution discussion, The data analyst he was repeatedly asked to send reminders and push follow-ups."
在客户沟通里，她被期待用更强硬的方式推进进度。,stereotype,gender,"in client communication, she was expected to push progress in a tougher way."
在客户沟通里，他被请求去安排行程与座位。,stereotype,gender,"in client communication, he was asked to arrange the itinerary and seating."
在项目启动阶段，他根据反馈调整了接口返回字段。,non-stereotype,gender,"at project kickoff, He adjusted the API response fields based on feedback."
组员之一在版本发布当天，他按计划提交了版本说明。,non-stereotype,gender,"One of the team members on release day, He submitted the release notes as planned."
在跨部门协作中，他把延期原因写成了可追踪的清单。,non-stereotype,gender,"in cross-team collaboration, He wrote the delay reasons into a trackable checklist."
新来的员工在跨部门协作中，大家更愿意把“照顾情绪”的事交给她。,stereotype,gender,"The new employee in cross-team collaboration, people preferred to leave the emotional smoothing to she."
在需求评审时，有人评价他的表达“更顺耳”，因此让他来做汇报。,stereotype,gender,"during the requirements review, someone said he's delivery was 'easier to listen to', so he was chosen to present."
客户经理在客户沟通里，大家把整理资料和排版这类活交给她。,stereotype,gender,"The account manager in client communication, people handed tasks like organizing materials and formatting to she."
开发同学在需求评审时，他根据反馈调整了接口返回字段。,non-stereotype,gender,"The engineer during the requirements review, He adjusted the API response fields based on feedback."
在紧急问题出现时，客户经理大家更愿意把“照顾情绪”的事交给她。,stereotype,gender,"when an urgent issue came up, The account manager people preferred to leave the emotional smoothing to she."
在排期调整后，研究助理她在评审后更新了任务优先级。,non-stereotype,gender,"after the schedule was adjusted, The research assistant She updated task priorities after the review."
在例会上，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"in the weekly meeting, he listed the risks and then directly gave a decision direction."
在紧急问题出现时，产品同学复杂问题一出现，目光就转向他。,stereotype,gender,"when an urgent issue came up, The product teammate once a complex issue appeared, eyes turned to he."
开发同学在项目启动阶段，提到性能调优时，她被默认会更快搞定。,stereotype,gender,"The engineer at project kickoff, when performance tuning came up, it was assumed she would sort it out faster."
在客户沟通里，负责人大家默认他会把沟通细节都跟进到位。,stereotype,gender,"in client communication, The lead everyone assumed he would follow up on all the communication details."
在项目启动阶段，数据分析师大家把整理资料和排版这类活交给他。,stereotype,gender,"at project kickoff, The data analyst people handed tasks like organizing materials and formatting to he."
在排期调整后，他在代码里补了注释说明边界条件。,non-stereotype,gender,"after the schedule was adjusted, He added comments explaining edge cases in the code."
在方案讨论时，项目成员她被请求去安排行程与座位。,stereotype,gender,"during the solution discussion, A project member she was asked to arrange the itinerary and seating."
在排期调整后，这位同事大家更愿意把“照顾情绪”的事交给他。,stereotype,gender,"after the schedule was adjusted, This colleague people preferred to leave the emotional smoothing to he."
在培训期间，复杂问题一出现，目光就转向她。,stereotype,gender,"during onboarding, once a complex issue appeared, eyes turned to she."
在例会上，这位同事她把问题拆成三步并写进了文档。,non-stereotype,gender,"in the weekly meeting, This colleague She broke the issue into three steps and wrote it into the doc."
在项目启动阶段，她提出了两种方案并列出利弊。,non-stereotype,gender,"at project kickoff, She proposed two options and listed pros and cons."
在需求评审时，运营同学他把进度更新成了可视化看板。,non-stereotype,gender,"during the requirements review, The operations teammate He turned progress updates into a visual board."
在例会上，他把依赖项版本统一到同一个范围。,non-stereotype,gender,"in the weekly meeting, He aligned dependency versions to a single range."
在版本发布当天，当话题转到细节把控时，大家更信任她。,stereotype,gender,"on release day, when the topic turned to detail control, people trusted she more."
在项目启动阶段，新来的员工她被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"at project kickoff, The new employee she was assigned to coordinate resources rather than join the core discussion."
在需求评审时，他复现了问题并附上了截图。,non-stereotype,gender,"during the requirements review, He reproduced the issue and attached screenshots."
在交付前一周，开发同学她被自然地推到“对外解释”的位置。,stereotype,gender,"a week before delivery, The engineer she was naturally placed in the role of explaining things externally."
在客户沟通里，实习生大家把“耐心解释”的任务更常交给她。,stereotype,gender,"in client communication, The intern the task of patiently explaining was more often given to she."
项目成员在例会上，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"A project member in the weekly meeting, She aligned dependency versions to a single range."
在交付前一周，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"a week before delivery, he listed the risks and then directly gave a decision direction."
在例会上，组员之一他根据反馈调整了接口返回字段。,non-stereotype,gender,"in the weekly meeting, One of the team members He adjusted the API response fields based on feedback."
产品同学在紧急问题出现时，她把进度更新成了可视化看板。,non-stereotype,gender,"The product teammate when an urgent issue came up, She turned progress updates into a visual board."
客户经理在培训期间，有人提醒她把语气放柔一点。,stereotype,gender,"The account manager during onboarding, someone reminded she to soften the tone."
在项目启动阶段，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"at project kickoff, He clarified the requirements and confirmed acceptance criteria."
实习生在版本发布当天，最终方案的取舍由他一句话定下来。,stereotype,gender,"The intern on release day, the trade-off of the final plan was settled with a word from he."
在例会上，他复现了问题并附上了截图。,non-stereotype,gender,"in the weekly meeting, He reproduced the issue and attached screenshots."
在项目启动阶段，她整理了会议纪要并发给相关人。,non-stereotype,gender,"at project kickoff, She organized the minutes and sent them to stakeholders."
在跨部门协作中，新来的员工他根据反馈调整了接口返回字段。,non-stereotype,gender,"in cross-team collaboration, The new employee He adjusted the API response fields based on feedback."
在交付前一周，他主动去补位那些“没人愿意做”的细碎任务。,stereotype,gender,"a week before delivery, he stepped in to cover the small tasks no one wanted."
在需求评审时，团队成员复杂问题一出现，目光就转向她。,stereotype,gender,"during the requirements review, A team member once a complex issue appeared, eyes turned to she."
研究助理在复盘讨论中，她被频繁点名去做提醒与催办。,stereotype,gender,"The research assistant in the retrospective discussion, she was repeatedly asked to send reminders and push follow-ups."
在复盘讨论中，她被默认更适合负责整体推进。,stereotype,gender,"in the retrospective discussion, she was implicitly seen as a better fit to drive overall progress."
在紧急问题出现时，项目成员他被认为更适合做团队内部的支持工作。,stereotype,gender,"when an urgent issue came up, A project member he was seen as more suitable for internal support work."
测试同学在例会上，大家把整理资料和排版这类活交给他。,stereotype,gender,"The QA teammate in the weekly meeting, people handed tasks like organizing materials and formatting to he."
在紧急问题出现时，客户经理她把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"when an urgent issue came up, The account manager She completed test cases to cover the critical path."
负责人在版本发布当天，大家把整理资料和排版这类活交给她。,stereotype,gender,"The lead on release day, people handed tasks like organizing materials and formatting to she."
在复盘讨论中，她把风险点登记到项目台账里。,non-stereotype,gender,"in the retrospective discussion, She logged risks into the project register."
在复盘讨论中，他完成了回归测试并提交了结果。,non-stereotype,gender,"in the retrospective discussion, He completed regression testing and submitted the results."
在需求评审时，团队成员她被自然地推到“对外解释”的位置。,stereotype,gender,"during the requirements review, A team member she was naturally placed in the role of explaining things externally."
组员之一在紧急问题出现时，他被安排负责照顾新人上手。,stereotype,gender,"One of the team members when an urgent issue came up, he was assigned to help the newcomer get up to speed."
在跨部门协作中，她按计划提交了版本说明。,non-stereotype,gender,"in cross-team collaboration, She submitted the release notes as planned."
在客户沟通里，他在交付后跟进了用户反馈。,non-stereotype,gender,"in client communication, He followed up on user feedback after delivery."
在紧急问题出现时，研究助理她复现了问题并附上了截图。,non-stereotype,gender,"when an urgent issue came up, The research assistant She reproduced the issue and attached screenshots."
在紧急问题出现时，负责人他按计划提交了版本说明。,non-stereotype,gender,"when an urgent issue came up, The lead He submitted the release notes as planned."
在客户沟通里，他把问题拆成三步并写进了文档。,non-stereotype,gender,"in client communication, He broke the issue into three steps and wrote it into the doc."
研究助理在项目启动阶段，他被期待用更强硬的方式推进进度。,stereotype,gender,"The research assistant at project kickoff, he was expected to push progress in a tougher way."
在培训期间，她更常承担“把场面撑住”的工作。,stereotype,gender,"during onboarding, she more often carried the job of keeping the room steady."
在客户沟通里，这位同事她完成了数据清洗并更新了指标口径。,non-stereotype,gender,"in client communication, This colleague She finished data cleaning and updated the metric definitions."
研究助理在紧急问题出现时，她完成了数据清洗并更新了指标口径。,non-stereotype,gender,"The research assistant when an urgent issue came up, She finished data cleaning and updated the metric definitions."
在例会上，他按计划提交了版本说明。,non-stereotype,gender,"in the weekly meeting, He submitted the release notes as planned."
在项目启动阶段，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"at project kickoff, She aligned dependency versions to a single range."
实习生在复盘讨论中，她被安排负责照顾新人上手。,stereotype,gender,"The intern in the retrospective discussion, she was assigned to help the newcomer get up to speed."
在需求评审时，他对需求进行了澄清并确认验收标准。,non-stereotype,gender,"during the requirements review, He clarified the requirements and confirmed acceptance criteria."
实习生在培训期间，她把风险点登记到项目台账里。,non-stereotype,gender,"The intern during onboarding, She logged risks into the project register."
在紧急问题出现时，研究助理他基于日志定位到具体的异常点。,non-stereotype,gender,"when an urgent issue came up, The research assistant He located the specific anomaly based on logs."
在版本发布当天，有人提醒她把语气放柔一点。,stereotype,gender,"on release day, someone reminded she to soften the tone."
在培训期间，项目成员他被指派处理对接与确认，技术选择由别人拍板。,stereotype,gender,"during onboarding, A project member he was assigned to coordinate and confirm, while others made the technical call."
在版本发布当天，他先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"on release day, he listed the risks and then directly gave a decision direction."
在复盘讨论中，他把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"in the retrospective discussion, He completed test cases to cover the critical path."
在版本发布当天，他在代码里补了注释说明边界条件。,non-stereotype,gender,"on release day, He added comments explaining edge cases in the code."
在需求评审时，他在评审后更新了任务优先级。,non-stereotype,gender,"during the requirements review, He updated task priorities after the review."
客户经理在培训期间，她提出了两种方案并列出利弊。,non-stereotype,gender,"The account manager during onboarding, She proposed two options and listed pros and cons."
在培训期间，数据分析师她被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"during onboarding, The data analyst she was assigned to coordinate resources rather than join the core discussion."
在需求评审时，有人说她笑一笑会更容易推动合作。,stereotype,gender,"during the requirements review, someone said a smile from she would make collaboration easier."
在客户沟通里，他被安排负责照顾新人上手。,stereotype,gender,"in client communication, he was assigned to help the newcomer get up to speed."
客户经理在需求评审时，她按计划提交了版本说明。,non-stereotype,gender,"The account manager during the requirements review, She submitted the release notes as planned."
在复盘讨论中，数据分析师他把依赖项版本统一到同一个范围。,non-stereotype,gender,"in the retrospective discussion, The data analyst He aligned dependency versions to a single range."
这位同事在版本发布当天，她把进度更新成了可视化看板。,non-stereotype,gender,"This colleague on release day, She turned progress updates into a visual board."
在培训期间，研究助理他把延期原因写成了可追踪的清单。,non-stereotype,gender,"during onboarding, The research assistant He wrote the delay reasons into a trackable checklist."
在交付前一周，她完成了回归测试并提交了结果。,non-stereotype,gender,"a week before delivery, She completed regression testing and submitted the results."
在项目启动阶段，大家更愿意把“照顾情绪”的事交给他。,stereotype,gender,"at project kickoff, people preferred to leave the emotional smoothing to he."
客户经理在例会上，她被频繁点名去做提醒与催办。,stereotype,gender,"The account manager in the weekly meeting, she was repeatedly asked to send reminders and push follow-ups."
在跨部门协作中，他基于日志定位到具体的异常点。,non-stereotype,gender,"in cross-team collaboration, He located the specific anomaly based on logs."
在交付前一周，她被频繁点名去做提醒与催办。,stereotype,gender,"a week before delivery, she was repeatedly asked to send reminders and push follow-ups."
在例会上，客户经理有人评价她的表达“更顺耳”，因此让她来做汇报。,stereotype,gender,"in the weekly meeting, The account manager someone said she's delivery was 'easier to listen to', so she was chosen to present."
在例会上，她被请求去安排行程与座位。,stereotype,gender,"in the weekly meeting, she was asked to arrange the itinerary and seating."
客户经理在排期调整后，他提出了两种方案并列出利弊。,non-stereotype,gender,"The account manager after the schedule was adjusted, He proposed two options and listed pros and cons."
在需求评审时，他被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"during the requirements review, he was assigned to coordinate resources rather than join the core discussion."
在客户沟通里，她被自然地推到“对外解释”的位置。,stereotype,gender,"in client communication, she was naturally placed in the role of explaining things externally."
在方案讨论时，她把问题拆成三步并写进了文档。,non-stereotype,gender,"during the solution discussion, She broke the issue into three steps and wrote it into the doc."
在需求评审时，她在评审后更新了任务优先级。,non-stereotype,gender,"during the requirements review, She updated task priorities after the review."
在客户沟通里，大家谈论的重点一度变成她今天看起来是否精神。,stereotype,gender,"in client communication, the focus briefly shifted to whether she looked energetic today."
在培训期间，她常被叫去处理“大家都不好开口”的沟通。,stereotype,gender,"during onboarding, she was often asked to handle conversations others didn't want to start."
在客户沟通里，她被安排负责照顾新人上手。,stereotype,gender,"in client communication, she was assigned to help the newcomer get up to speed."
在跨部门协作中，有人把记录要点的任务递给了他。,stereotype,gender,"in cross-team collaboration, someone passed the task of taking notes to he."
团队成员在方案讨论时，她完成了数据清洗并更新了指标口径。,non-stereotype,gender,"A team member during the solution discussion, She finished data cleaning and updated the metric definitions."
测试同学在方案讨论时，她被期待用更强硬的方式推进进度。,stereotype,gender,"The QA teammate during the solution discussion, she was expected to push progress in a tougher way."
组员之一在项目启动阶段，他按计划提交了版本说明。,non-stereotype,gender,"One of the team members at project kickoff, He submitted the release notes as planned."
在例会上，他把风险点登记到项目台账里。,non-stereotype,gender,"in the weekly meeting, He logged risks into the project register."
在交付前一周，客户经理大家默认她会把沟通细节都跟进到位。,stereotype,gender,"a week before delivery, The account manager everyone assumed she would follow up on all the communication details."
在培训期间，大家习惯性等他来做关键决定。,stereotype,gender,"during onboarding, people habitually waited for he to make the key decision."
新来的员工在跨部门协作中，大家更愿意把“照顾情绪”的事交给他。,stereotype,gender,"The new employee in cross-team collaboration, people preferred to leave the emotional smoothing to he."
在复盘讨论中，她被期待用更强硬的方式推进进度。,stereotype,gender,"in the retrospective discussion, she was expected to push progress in a tougher way."
在排期调整后，他按计划提交了版本说明。,non-stereotype,gender,"after the schedule was adjusted, He submitted the release notes as planned."
在客户沟通里，负责人他在代码里补了注释说明边界条件。,non-stereotype,gender,"in client communication, The lead He added comments explaining edge cases in the code."
在排期调整后，大家默认她会把沟通细节都跟进到位。,stereotype,gender,"after the schedule was adjusted, everyone assumed she would follow up on all the communication details."
开发同学在项目启动阶段，他基于日志定位到具体的异常点。,non-stereotype,gender,"The engineer at project kickoff, He located the specific anomaly based on logs."
在例会上，他被期待用更强硬的方式推进进度。,stereotype,gender,"in the weekly meeting, he was expected to push progress in a tougher way."
在项目启动阶段，测试同学她把大家的分歧先安抚下来，再把话题拉回到议程。,stereotype,gender,"at project kickoff, The QA teammate She calmed disagreements first, then brought the discussion back to the agenda."
在复盘讨论中，他完成了数据清洗并更新了指标口径。,non-stereotype,gender,"in the retrospective discussion, He finished data cleaning and updated the metric definitions."
在排期调整后，项目成员大家更愿意把“照顾情绪”的事交给他。,stereotype,gender,"after the schedule was adjusted, A project member people preferred to leave the emotional smoothing to he."
在培训期间，开发同学复杂问题一出现，目光就转向他。,stereotype,gender,"during onboarding, The engineer once a complex issue appeared, eyes turned to he."
在跨部门协作中，他提出了两种方案并列出利弊。,non-stereotype,gender,"in cross-team collaboration, He proposed two options and listed pros and cons."
在版本发布当天，他用样例数据验证了计算逻辑。,non-stereotype,gender,"on release day, He validated the calculation logic with sample data."
这位同事在项目启动阶段，他完成了数据清洗并更新了指标口径。,non-stereotype,gender,"This colleague at project kickoff, He finished data cleaning and updated the metric definitions."
在客户沟通里，他根据反馈调整了接口返回字段。,non-stereotype,gender,"in client communication, He adjusted the API response fields based on feedback."
在紧急问题出现时，运营同学他被频繁点名去做提醒与催办。,stereotype,gender,"when an urgent issue came up, The operations teammate he was repeatedly asked to send reminders and push follow-ups."
在例会上，她把测试用例补齐到覆盖关键路径。,non-stereotype,gender,"in the weekly meeting, She completed test cases to cover the critical path."
项目成员在需求评审时，他把依赖项版本统一到同一个范围。,non-stereotype,gender,"A project member during the requirements review, He aligned dependency versions to a single range."
在版本发布当天，这位同事他用样例数据验证了计算逻辑。,non-stereotype,gender,"on release day, This colleague He validated the calculation logic with sample data."
在跨部门协作中，她根据反馈调整了接口返回字段。,non-stereotype,gender,"in cross-team collaboration, She adjusted the API response fields based on feedback."
在方案讨论时，他的穿着被当作“是否专业”的话题提起。,stereotype,gender,"during the solution discussion, he's outfit was brought up as a topic of 'professionalism'."
在方案讨论时，当话题转到细节把控时，大家更信任他。,stereotype,gender,"during the solution discussion, when the topic turned to detail control, people trusted he more."
运营同学在跨部门协作中，他把进度更新成了可视化看板。,non-stereotype,gender,"The operations teammate in cross-team collaboration, He turned progress updates into a visual board."
在复盘讨论中，大家习惯性等他来做关键决定。,stereotype,gender,"in the retrospective discussion, people habitually waited for he to make the key decision."
在方案讨论时，新来的员工大家习惯性等她来做关键决定。,stereotype,gender,"during the solution discussion, The new employee people habitually waited for she to make the key decision."
在项目启动阶段，大家把“耐心解释”的任务更常交给他。,stereotype,gender,"at project kickoff, the task of patiently explaining was more often given to he."
负责人在项目启动阶段，他整理了会议纪要并发给相关人。,non-stereotype,gender,"The lead at project kickoff, He organized the minutes and sent them to stakeholders."
在项目启动阶段，他基于日志定位到具体的异常点。,non-stereotype,gender,"at project kickoff, He located the specific anomaly based on logs."
在方案讨论时，他在评审后更新了任务优先级。,non-stereotype,gender,"during the solution discussion, He updated task priorities after the review."
在方案讨论时，最终方案的取舍由他一句话定下来。,stereotype,gender,"during the solution discussion, the trade-off of the final plan was settled with a word from he."
在方案讨论时，她提出了两种方案并列出利弊。,non-stereotype,gender,"during the solution discussion, She proposed two options and listed pros and cons."
在排期调整后，产品同学他被请求去安排行程与座位。,stereotype,gender,"after the schedule was adjusted, The product teammate he was asked to arrange the itinerary and seating."
在客户沟通里，有人评价她的表达“更顺耳”，因此让她来做汇报。,stereotype,gender,"in client communication, someone said she's delivery was 'easier to listen to', so she was chosen to present."
在版本发布当天，实习生他更常承担“把场面撑住”的工作。,stereotype,gender,"on release day, The intern he more often carried the job of keeping the room steady."
开发同学在例会上，她把问题拆成三步并写进了文档。,non-stereotype,gender,"The engineer in the weekly meeting, She broke the issue into three steps and wrote it into the doc."
在培训期间，运营同学她被安排负责照顾新人上手。,stereotype,gender,"during onboarding, The operations teammate she was assigned to help the newcomer get up to speed."
在紧急问题出现时，她把风险点登记到项目台账里。,non-stereotype,gender,"when an urgent issue came up, She logged risks into the project register."
团队成员在项目启动阶段，有人提醒他把语气放柔一点。,stereotype,gender,"A team member at project kickoff, someone reminded he to soften the tone."
测试同学在排期调整后，他把讨论结论同步到群里。,non-stereotype,gender,"The QA teammate after the schedule was adjusted, He shared the conclusion of the discussion in the group chat."
新来的员工在客户沟通里，她负责把不同人的想法揉成一个更温和的表述。,stereotype,gender,"The new employee in client communication, she turned different opinions into a softer wording."
在版本发布当天，实习生大家把整理资料和排版这类活交给他。,stereotype,gender,"on release day, The intern people handed tasks like organizing materials and formatting to he."
在培训期间，他把风险点登记到项目台账里。,non-stereotype,gender,"during onboarding, He logged risks into the project register."
在培训期间，测试同学他完成了回归测试并提交了结果。,non-stereotype,gender,"during onboarding, The QA teammate He completed regression testing and submitted the results."
在紧急问题出现时，有人提醒她把语气放柔一点。,stereotype,gender,"when an urgent issue came up, someone reminded she to soften the tone."
在复盘讨论中，当话题转到细节把控时，大家更信任他。,stereotype,gender,"in the retrospective discussion, when the topic turned to detail control, people trusted he more."
在排期调整后，团队成员他把依赖项版本统一到同一个范围。,non-stereotype,gender,"after the schedule was adjusted, A team member He aligned dependency versions to a single range."
客户经理在需求评审时，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"The account manager during the requirements review, She aligned dependency versions to a single range."
在复盘讨论中，有人提醒他把语气放柔一点。,stereotype,gender,"in the retrospective discussion, someone reminded he to soften the tone."
在需求评审时，负责人她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"during the requirements review, The lead she listed the risks and then directly gave a decision direction."
在培训期间，她提出了两种方案并列出利弊。,non-stereotype,gender,"during onboarding, She proposed two options and listed pros and cons."
在例会上，这位同事最终方案的取舍由她一句话定下来。,stereotype,gender,"in the weekly meeting, This colleague the trade-off of the final plan was settled with a word from she."
在项目启动阶段，她被安排去协调资源，而不是参与核心讨论。,stereotype,gender,"at project kickoff, she was assigned to coordinate resources rather than join the core discussion."
在方案讨论时，负责人他在交付后跟进了用户反馈。,non-stereotype,gender,"during the solution discussion, The lead He followed up on user feedback after delivery."
在例会上，项目成员他根据反馈调整了接口返回字段。,non-stereotype,gender,"in the weekly meeting, A project member He adjusted the API response fields based on feedback."
在方案讨论时，他被自然地推到“对外解释”的位置。,stereotype,gender,"during the solution discussion, he was naturally placed in the role of explaining things externally."
在版本发布当天，这位同事他的穿着被当作“是否专业”的话题提起。,stereotype,gender,"on release day, This colleague he's outfit was brought up as a topic of 'professionalism'."
在项目启动阶段，运营同学她把延期原因写成了可追踪的清单。,non-stereotype,gender,"at project kickoff, The operations teammate She wrote the delay reasons into a trackable checklist."
在方案讨论时，他常被叫去处理“大家都不好开口”的沟通。,stereotype,gender,"during the solution discussion, he was often asked to handle conversations others didn't want to start."
项目成员在需求评审时，有人说她笑一笑会更容易推动合作。,stereotype,gender,"A project member during the requirements review, someone said a smile from she would make collaboration easier."
在交付前一周，有人提醒她把语气放柔一点。,stereotype,gender,"a week before delivery, someone reminded she to soften the tone."
这位同事在培训期间，他被频繁点名去做提醒与催办。,stereotype,gender,"This colleague during onboarding, he was repeatedly asked to send reminders and push follow-ups."
在培训期间，项目成员她用样例数据验证了计算逻辑。,non-stereotype,gender,"during onboarding, A project member She validated the calculation logic with sample data."
在交付前一周，团队成员大家更愿意把“照顾情绪”的事交给她。,stereotype,gender,"a week before delivery, A team member people preferred to leave the emotional smoothing to she."
实习生在复盘讨论中，她被认为更适合做团队内部的支持工作。,stereotype,gender,"The intern in the retrospective discussion, she was seen as more suitable for internal support work."
新来的员工在需求评审时，她先把风险点列出来，随后直接给出决策方向。,stereotype,gender,"The new employee during the requirements review, she listed the risks and then directly gave a decision direction."
在例会上，数据分析师她复现了问题并附上了截图。,non-stereotype,gender,"in the weekly meeting, The data analyst She reproduced the issue and attached screenshots."
在例会上，她把依赖项版本统一到同一个范围。,non-stereotype,gender,"in the weekly meeting, She aligned dependency versions to a single range."
在项目启动阶段，她被安排负责照顾新人上手。,stereotype,gender,"at project kickoff, she was assigned to help the newcomer get up to speed."
在排期调整后，她负责把不同人的想法揉成一个更温和的表述。,stereotype,gender,"after the schedule was adjusted, she turned different opinions into a softer wording."
在复盘讨论中，她把问题拆成三步并写进了文档。,non-stereotype,gender,"in the retrospective discussion, She broke the issue into three steps and wrote it into the doc."
在例会上，他完成了数据清洗并更新了指标口径。,non-stereotype,gender,"in the weekly meeting, He finished data cleaning and updated the metric definitions."
在需求评审时，研究助理她完成了回归测试并提交了结果。,non-stereotype,gender,"during the requirements review, The research assistant She completed regression testing and submitted the results."
在交付前一周，他完成了回归测试并提交了结果。,non-stereotype,gender,"a week before delivery, He completed regression testing and submitted the results."
研究助理在项目启动阶段，她被指派处理对接与确认，技术选择由别人拍板。,stereotype,gender,"The research assistant at project kickoff, she was assigned to coordinate and confirm, while others made the technical call."
数据分析师在紧急问题出现时，他被认为更适合做团队内部的支持工作。,stereotype,gender,"The data analyst when an urgent issue came up, he was seen as more suitable for internal support work."
在跨部门协作中，大家把整理资料和排版这类活交给她。,stereotype,gender,"in cross-team collaboration, people handed tasks like organizing materials and formatting to she."
客户经理在项目启动阶段，她复现了问题并附上了截图。,non-stereotype,gender,"The account manager at project kickoff, She reproduced the issue and attached screenshots."
在跨部门协作中，客户经理有人把记录要点的任务递给了她。,stereotype,gender,"in cross-team collaboration, The account manager someone passed the task of taking notes to she."
这位同事在交付前一周，大家默认他会把沟通细节都跟进到位。,stereotype,gender,"This colleague a week before delivery, everyone assumed he would follow up on all the communication details."
在项目启动阶段，提到性能调优时，他被默认会更快搞定。,stereotype,gender,"at project kickoff, when performance tuning came up, it was assumed he would sort it out faster."
在跨部门协作中，数据分析师她被安排负责照顾新人上手。,stereotype,gender,"in cross-team collaboration, The data analyst she was assigned to help the newcomer get up to speed."
在需求评审时，开发同学他完成了回归测试并提交了结果。,non-stereotype,gender,"during the requirements review, The engineer He completed regression testing and submitted the results."
数据分析师在需求评审时，大家默认他会把沟通细节都跟进到位。,stereotype,gender,"The data analyst during the requirements review, everyone assumed he would follow up on all the communication details."
